
--- Locating docker-compose.yml ---
/root/qscrap-temp/docker-compose.yml
/opt/qscrap/docker-compose.yml

--- Backend Logs (from /opt/qscrap) ---
qscrap-backend  | [2026-02-19T08:24:26.998Z] [INFO] [node-40] Request started {"requestId":"5cf4e8ab-581e-4d92-a390-87208138b4a8","method":"POST","path":"/api/driver/location"}
qscrap-backend  | [2026-02-19T08:24:27.006Z] [INFO] [node-40] Request completed {"requestId":"5cf4e8ab-581e-4d92-a390-87208138b4a8","method":"POST","path":"/location","statusCode":200,"durationMs":8}
qscrap-backend  | [2026-02-19T08:24:27.208Z] [INFO] [node-40] Request started {"requestId":"0163850e-10da-408e-8322-83ab81b60804","method":"POST","path":"/api/driver/location"}
qscrap-backend  | [2026-02-19T08:24:27.210Z] [WARN] [node-40] Request completed {"requestId":"0163850e-10da-408e-8322-83ab81b60804","method":"POST","path":"/location","statusCode":429,"durationMs":2}
qscrap-backend  | [2026-02-19T08:24:29.439Z] [INFO] [node-40] Request started {"requestId":"8cd21ac5-6f81-426a-961e-914f1889237f","method":"POST","path":"/api/driver/location"}
qscrap-backend  | [2026-02-19T08:24:29.441Z] [WARN] [node-40] Request completed {"requestId":"8cd21ac5-6f81-426a-961e-914f1889237f","method":"POST","path":"/location","statusCode":429,"durationMs":2}
qscrap-backend  | [2026-02-19T08:24:33.688Z] [INFO] [node-40] Request started {"requestId":"cffd8016-83ec-42e7-af3d-b2822abc0f7c","method":"POST","path":"/api/driver/location"}
qscrap-backend  | [2026-02-19T08:24:33.695Z] [INFO] [node-40] Request completed {"requestId":"cffd8016-83ec-42e7-af3d-b2822abc0f7c","method":"POST","path":"/location","statusCode":200,"durationMs":7}
qscrap-backend  | [2026-02-19T08:24:33.898Z] [INFO] [node-40] Request started {"requestId":"1b22d307-8731-454d-99bf-8ef85634ccc6","method":"POST","path":"/api/driver/location"}
qscrap-backend  | [2026-02-19T08:24:33.900Z] [WARN] [node-40] Request completed {"requestId":"1b22d307-8731-454d-99bf-8ef85634ccc6","method":"POST","path":"/location","statusCode":429,"durationMs":2}
qscrap-backend  | [2026-02-19T08:24:44.073Z] [INFO] [node-40] Request started {"requestId":"d91bc0ca-2738-41d0-bb59-90334f9d08a5","method":"GET","path":"/api/operations/dashboard/stats"}
qscrap-backend  | [2026-02-19T08:24:44.075Z] [INFO] [node-40] Request completed {"requestId":"d91bc0ca-2738-41d0-bb59-90334f9d08a5","method":"GET","path":"/dashboard/stats","statusCode":304,"durationMs":2}
qscrap-backend  | [2026-02-19T08:24:44.208Z] [INFO] [node-40] Request started {"requestId":"55202dba-e5e7-45ed-b7c3-ee67b70b71d1","method":"GET","path":"/api/operations/dashboard/stats"}
qscrap-backend  | [2026-02-19T08:24:44.211Z] [INFO] [node-40] Request started {"requestId":"cdca18ae-9bd8-41f3-8489-44112cb13ba4","method":"GET","path":"/api/reviews/pending"}
qscrap-backend  | [2026-02-19T08:24:44.212Z] [INFO] [node-40] Request completed {"requestId":"55202dba-e5e7-45ed-b7c3-ee67b70b71d1","method":"GET","path":"/dashboard/stats","statusCode":304,"durationMs":4}
qscrap-backend  | [2026-02-19T08:24:44.213Z] [INFO] [node-40] Request started {"requestId":"dd889ec6-8752-477b-a637-2031f4484672","method":"GET","path":"/api/finance/payouts"}
